Subject,Marks,Score
ELECTIVE: Cloud Computing,32,8
ELECTIVE: Cloud Computing,36,10
ELECTIVE: Cloud Computing,36,10
ELECTIVE: Cloud Computing,36,10
ELECTIVE: Cloud Computing,34,9
ELECTIVE: Cloud Computing,36,9
ELECTIVE: Cloud Computing,36,9
ELECTIVE: Cloud Computing,23,8
ELECTIVE: Cloud Computing,32,8
ELECTIVE: Cloud Computing,32,8
ELECTIVE: Cloud Computing,20,8
ELECTIVE: Cloud Computing,38,10
ELECTIVE: Cloud Computing,32,8
ELECTIVE: Cloud Computing,38,10
ELECTIVE: Cloud Computing,34,9
ELECTIVE: Cloud Computing,38,10
ELECTIVE: Cloud Computing,34,8
ELECTIVE: Cloud Computing,36,9
ELECTIVE: Cloud Computing,34,9
ELECTIVE: Cloud Computing,36,9
ELECTIVE: Cloud Computing,38,10
ELECTIVE: Cloud Computing,36,10
ELECTIVE: Cloud Computing,34,9
ELECTIVE: Cloud Computing,34,9
ELECTIVE: Cloud Computing,39,10
ELECTIVE: Cloud Computing,32,8
ELECTIVE: Cloud Computing,34,9
ELECTIVE: Cloud Computing,29,7
ELECTIVE: Cloud Computing,32,8
ELECTIVE: Cloud Computing,36,9
ELECTIVE: Cloud Computing,39,10
ELECTIVE: Cloud Computing,34,9
ELECTIVE: Cloud Computing,38,10
ELECTIVE: Cloud Computing,39,10
ELECTIVE: Cloud Computing,36,10
ELECTIVE: Cloud Computing,38,10
ELECTIVE: Cloud Computing,34,9
ELECTIVE: Cloud Computing,36,10
ELECTIVE: Cloud Computing,36,9
ELECTIVE: Cloud Computing,36,9
ELECTIVE: Cloud Computing,34,8
ELECTIVE: Cloud Computing,38,10
ELECTIVE: Cloud Computing,36,8
ELECTIVE: Cloud Computing,36,9
ELECTIVE: Cloud Computing,38,10
ELECTIVE: Cloud Computing,36,10
ELECTIVE: Cloud Computing,16,5
ELECTIVE: Cloud Computing,34,9
ELECTIVE: Cloud Computing,39,10
ELECTIVE: Cloud Computing,16,7
ELECTIVE: Cloud Computing,36,9
ELECTIVE: Cloud Computing,38,10
ELECTIVE: Cloud Computing,34,9
ELECTIVE: Cloud Computing,36,8
ELECTIVE: Cloud Computing,32,8
ELECTIVE: Cloud Computing,38,10
ELECTIVE: Cloud Computing,31,9
ELECTIVE: Cloud Computing,36,9
ELECTIVE: Cloud Computing,34,9
ELECTIVE: Cloud Computing,34,8
ELECTIVE: Cloud Computing,36,9
ELECTIVE: Cloud Computing,36,9
ELECTIVE: Open Source Software Development,35,8
ELECTIVE: Open Source Software Development,38,9
ELECTIVE: Open Source Software Development,36,9
ELECTIVE: Open Source Software Development,37,9
ELECTIVE: Open Source Software Development,37,9
ELECTIVE: Open Source Software Development,37,8
ELECTIVE: Open Source Software Development,36,9
ELECTIVE: Open Source Software Development,27,7
ELECTIVE: Open Source Software Development,35,7
ELECTIVE: Open Source Software Development,33,7
ELECTIVE: Open Source Software Development,34,8
ELECTIVE: Open Source Software Development,37,9
ELECTIVE: Open Source Software Development,34,8
ELECTIVE: Open Source Software Development,37,9
ELECTIVE: Open Source Software Development,36,8
ELECTIVE: Open Source Software Development,37,9
ELECTIVE: Open Source Software Development,31,7
ELECTIVE: Open Source Software Development,37,9
ELECTIVE: Open Source Software Development,36,8
ELECTIVE: Open Source Software Development,35,8
ELECTIVE: Open Source Software Development,37,9
ELECTIVE: Open Source Software Development,36,9
ELECTIVE: Open Source Software Development,35,8
ELECTIVE: Open Source Software Development,34,8
ELECTIVE: Open Source Software Development,37,9
ELECTIVE: Open Source Software Development,32,7
ELECTIVE: Open Source Software Development,36,8
ELECTIVE: Open Source Software Development,34,7
ELECTIVE: Open Source Software Development,36,8
ELECTIVE: Open Source Software Development,37,8
ELECTIVE: Open Source Software Development,37,9
ELECTIVE: Open Source Software Development,32,8
ELECTIVE: Open Source Software Development,37,8
ELECTIVE: Open Source Software Development,37,8
ELECTIVE: Open Source Software Development,36,9
ELECTIVE: Open Source Software Development,37,8
ELECTIVE: Open Source Software Development,31,8
ELECTIVE: Open Source Software Development,37,8
ELECTIVE: Open Source Software Development,36,8
ELECTIVE: Open Source Software Development,35,7
ELECTIVE: Open Source Software Development,36,8
ELECTIVE: Open Source Software Development,33,8
ELECTIVE: Open Source Software Development,37,9
ELECTIVE: Open Source Software Development,37,9
ELECTIVE: Open Source Software Development,37,9
ELECTIVE: Open Source Software Development,37,9
ELECTIVE: Open Source Software Development,33,7
ELECTIVE: Open Source Software Development,36,8
ELECTIVE: Open Source Software Development,37,9
ELECTIVE: Open Source Software Development,24,6
ELECTIVE: Open Source Software Development,36,8
ELECTIVE: Open Source Software Development,37,8
ELECTIVE: Open Source Software Development,36,9
ELECTIVE: Open Source Software Development,37,8
ELECTIVE: Open Source Software Development,36,8
ELECTIVE: Open Source Software Development,32,9
ELECTIVE: Open Source Software Development,34,7
ELECTIVE: Open Source Software Development,30,8
ELECTIVE: Open Source Software Development,37,8
ELECTIVE: Open Source Software Development,35,7
ELECTIVE: Open Source Software Development,37,9
ELECTIVE: Open Source Software Development,37,9
Cryptography and Network Security,28,8
Cryptography and Network Security,35,8
Cryptography and Network Security,30,8
Cryptography and Network Security,31,8
Cryptography and Network Security,33,8
Cryptography and Network Security,33,9
Cryptography and Network Security,32,8
Cryptography and Network Security,26,6
Cryptography and Network Security,28,7
Cryptography and Network Security,32,7
Cryptography and Network Security,27,8
