Subject,Marks,Score
Discrete Mathematical Structures,36,10
Discrete Mathematical Structures,31,9
Discrete Mathematical Structures,31,9
Discrete Mathematical Structures,34,9
Discrete Mathematical Structures,23,7
Discrete Mathematical Structures,34,9
Discrete Mathematical Structures,32,9
Discrete Mathematical Structures,25,7
Discrete Mathematical Structures,24,7
Discrete Mathematical Structures,40,10
Discrete Mathematical Structures,31,9
Discrete Mathematical Structures,27,8
Discrete Mathematical Structures,26,7
Discrete Mathematical Structures,32,9
Discrete Mathematical Structures,29,8
Discrete Mathematical Structures,26,7
Discrete Mathematical Structures,27,8
Discrete Mathematical Structures,27,8
Discrete Mathematical Structures,31,9
Discrete Mathematical Structures,34,9
Discrete Mathematical Structures,34,9
Discrete Mathematical Structures,34,9
Discrete Mathematical Structures,23,6
Discrete Mathematical Structures,37,10
Discrete Mathematical Structures,36,10
Discrete Mathematical Structures,39,10
Discrete Mathematical Structures,25,7
Discrete Mathematical Structures,27,8
Discrete Mathematical Structures,19,6
Discrete Mathematical Structures,40,10
Discrete Mathematical Structures,25,7
Discrete Mathematical Structures,28,8
Discrete Mathematical Structures,29,8
Discrete Mathematical Structures,35,10
Discrete Mathematical Structures,32,9
Discrete Mathematical Structures,33,9
Discrete Mathematical Structures,23,7
Discrete Mathematical Structures,26,7
Discrete Mathematical Structures,30,8
Discrete Mathematical Structures,30,8
Discrete Mathematical Structures,32,9
Discrete Mathematical Structures,27,8
Discrete Mathematical Structures,24,7
Discrete Mathematical Structures,36,10
Discrete Mathematical Structures,31,9
Discrete Mathematical Structures,23,7
Discrete Mathematical Structures,24,7
Discrete Mathematical Structures,26,7
Discrete Mathematical Structures,23,7
Discrete Mathematical Structures,30,8
Discrete Mathematical Structures,24,7
Discrete Mathematical Structures,29,8
Discrete Mathematical Structures,24,7
Discrete Mathematical Structures,40,10
Discrete Mathematical Structures,35,10
Discrete Mathematical Structures,36,10
Discrete Mathematical Structures,22,6
Discrete Mathematical Structures,31,9
Discrete Mathematical Structures,37,10
ELECTIVE: English for Effective Communication,34,8
ELECTIVE: English for Effective Communication,31,7
ELECTIVE: English for Effective Communication,35,8
ELECTIVE: English for Effective Communication,32,8
ELECTIVE: English for Effective Communication,23,6
ELECTIVE: English for Effective Communication,33,8
ELECTIVE: English for Effective Communication,35,8
ELECTIVE: English for Effective Communication,25,6
ELECTIVE: English for Effective Communication,26,6
ELECTIVE: English for Effective Communication,35,8
ELECTIVE: English for Effective Communication,30,7
ELECTIVE: English for Effective Communication,23,6
ELECTIVE: English for Effective Communication,30,7
ELECTIVE: English for Effective Communication,33,8
ELECTIVE: English for Effective Communication,33,8
ELECTIVE: English for Effective Communication,28,7
ELECTIVE: English for Effective Communication,33,8
ELECTIVE: English for Effective Communication,31,7
ELECTIVE: English for Effective Communication,30,7
ELECTIVE: English for Effective Communication,33,8
ELECTIVE: English for Effective Communication,32,8
ELECTIVE: English for Effective Communication,30,7
ELECTIVE: English for Effective Communication,25,6
ELECTIVE: English for Effective Communication,32,8
ELECTIVE: English for Effective Communication,11,9
ELECTIVE: English for Effective Communication,36,9
ELECTIVE: English for Effective Communication,29,7
ELECTIVE: English for Effective Communication,24,6
ELECTIVE: English for Effective Communication,27,7
ELECTIVE: English for Effective Communication,27,7
ELECTIVE: English for Effective Communication,29,7
ELECTIVE: English for Effective Communication,27,7
ELECTIVE: English for Effective Communication,30,7
ELECTIVE: English for Effective Communication,35,9
ELECTIVE: English for Effective Communication,31,7
ELECTIVE: English for Effective Communication,27,8
ELECTIVE: English for Effective Communication,23,6
ELECTIVE: English for Effective Communication,27,7
ELECTIVE: English for Effective Communication,29,8
ELECTIVE: English for Effective Communication,32,8
ELECTIVE: English for Effective Communication,32,8
ELECTIVE: English for Effective Communication,36,10
ELECTIVE: English for Effective Communication,33,9
ELECTIVE: English for Effective Communication,33,9
ELECTIVE: English for Effective Communication,34,9
ELECTIVE: English for Effective Communication,31,8
ELECTIVE: English for Effective Communication,29,10
ELECTIVE: English for Effective Communication,28,8
ELECTIVE: English for Effective Communication,33,9
ELECTIVE: English for Effective Communication,36,10
ELECTIVE: English for Effective Communication,31,9
ELECTIVE: English for Effective Communication,30,9
ELECTIVE: English for Effective Communication,32,9
ELECTIVE: English for Effective Communication,34,9
ELECTIVE: English for Effective Communication,34,10
ELECTIVE: English for Effective Communication,37,10
ELECTIVE: English for Effective Communication,31,8
ELECTIVE: English for Effective Communication,33,10
ELECTIVE: English for Effective Communication,32,9
Environmental Studies,33,9
Environmental Studies,26,7
Environmental Studies,35,9
Environmental Studies,33,8
Environmental Studies,29,7
Environmental Studies,21,8
Environmental Studies,35,9
Environmental Studies,25,7
Environmental Studies,32,8
Environmental Studies,37,9
Environmental Studies,31,8
Environmental Studies,24,6
Environmental Studies,31,8
Environmental Studies,32,8
Environmental Studies,36,9
Environmental Studies,31,8
Environmental Studies,29,7
Environmental Studies,31,8
Environmental Studies,33,8
Environmental Studies,36,9
Environmental Studies,30,8
Environmental Studies,33,8
Environmental Studies,26,7
Environmental Studies,36,9
Environmental Studies,36,9
Environmental Studies,35,9
Environmental Studies,32,8
Environmental Studies,26,7
Environmental Studies,22,8
Environmental Studies,31,8
Environmental Studies,32,8
Environmental Studies,24,8
Environmental Studies,36,9
Environmental Studies,35,9
Environmental Studies,33,8
Environmental Studies,32,8
Environmental Studies,26,7
Environmental Studies,30,8
Environmental Studies,36,9
Environmental Studies,35,9
Environmental Studies,33,8
Environmental Studies,32,8
Environmental Studies,33,8
Environmental Studies,35,9
Environmental Studies,35,9
