Subject,Marks,Score
Formal Languages and Automata Theory,36,7
Formal Languages and Automata Theory,34,7
Formal Languages and Automata Theory,32,7
Formal Languages and Automata Theory,34,7
Formal Languages and Automata Theory,34,7
Formal Languages and Automata Theory,35,7
Formal Languages and Automata Theory,35,8
Formal Languages and Automata Theory,35,7
Formal Languages and Automata Theory,29,6
Formal Languages and Automata Theory,31,7
Formal Languages and Automata Theory,36,8
Formal Languages and Automata Theory,35,8
Formal Languages and Automata Theory,31,7
Formal Languages and Automata Theory,35,7
Formal Languages and Automata Theory,32,7
Formal Languages and Automata Theory,33,7
Formal Languages and Automata Theory,33,7
Formal Languages and Automata Theory,33,6
Formal Languages and Automata Theory,35,6
Formal Languages and Automata Theory,36,7
Formal Languages and Automata Theory,33,7
Formal Languages and Automata Theory,34,7
Formal Languages and Automata Theory,36,8
Formal Languages and Automata Theory,35,7
Formal Languages and Automata Theory,34,7
Formal Languages and Automata Theory,34,6
Formal Languages and Automata Theory,34,7
Formal Languages and Automata Theory,35,8
Formal Languages and Automata Theory,32,7
Formal Languages and Automata Theory,34,6
Formal Languages and Automata Theory,34,6
Formal Languages and Automata Theory,33,7
Formal Languages and Automata Theory,34,7
Formal Languages and Automata Theory,34,6
Formal Languages and Automata Theory,34,6
Formal Languages and Automata Theory,34,7
Formal Languages and Automata Theory,36,8
Formal Languages and Automata Theory,32,7
Formal Languages and Automata Theory,34,7
Formal Languages and Automata Theory,29,6
Formal Languages and Automata Theory,33,7
Formal Languages and Automata Theory,34,7
Formal Languages and Automata Theory,36,7
Formal Languages and Automata Theory,33,7
Formal Languages and Automata Theory,34,7
Formal Languages and Automata Theory,33,6
Formal Languages and Automata Theory,33,7
Formal Languages and Automata Theory,34,8
Formal Languages and Automata Theory,33,7
Formal Languages and Automata Theory,29,7
Formal Languages and Automata Theory,34,7
Formal Languages and Automata Theory,31,7
Formal Languages and Automata Theory,32,8
Formal Languages and Automata Theory,33,8
Formal Languages and Automata Theory,33,7
Formal Languages and Automata Theory,33,7
